"Per Pupil Expenditures by Function (District), 2023-24"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Preston School District","=""1140011""","Support services - school based administration","$470,666",444,2,"$1,060"
"Preston School District","=""1140011""","Central and other support services","$165,895",444,2,"$374"
"Preston School District","=""1140011""","Operation and maintenance of plant","$1,000,874",444,2,"$2,254"
"Preston School District","=""1140011""","Student transportation services","$1,013,697",645,3,"$1,572"
"Preston School District","=""1140011""","Food services","$0",444,2,"$0"
"Preston School District","=""1140011""","Enterprise operations","$0",444,2,"$0"
"Preston School District","=""1140011""","Minor school construction","N/A","N/A","N/A","N/A"
"Preston School District","=""1140011""","Total","$14,823,186",627,1,"$23,641"
"Putnam School District","=""1160011""","Instruction","$14,107,861",1215,1,"$11,611"
"Putnam School District","=""1160011""","Support services - students","$1,967,270",1169,2,"$1,683"
"Putnam School District","=""1160011""","Support services - instruction","$807,718",1169,2,"$691"
"Putnam School District","=""1160011""","Support services - general administration","$688,881",1169,2,"$589"
"Putnam School District","=""1160011""","Support services - school based administration","$1,727,515",1169,2,"$1,478"
"Putnam School District","=""1160011""","Central and other support services","$782,988",1169,2,"$670"
"Putnam School District","=""1160011""","Operation and maintenance of plant","$2,139,511",1169,2,"$1,830"
"Putnam School District","=""1160011""","Student transportation services","$1,494,606",793,3,"$1,885"
"Putnam School District","=""1160011""","Food services","$0",1169,2,"$0"
"Putnam School District","=""1160011""","Enterprise operations","$328,000",1169,2,"$281"
"Putnam School District","=""1160011""","Minor school construction","N/A","N/A","N/A","N/A"
"Putnam School District","=""1160011""","Total","$24,044,351",1215,1,"$19,790"
"Redding School District","=""1170011""","Instruction","$17,354,517",869,1,"$19,971"
"Redding School District","=""1170011""","Support services - students","$1,321,370",864,2,"$1,529"
"Redding School District","=""1170011""","Support services - instruction","$470,479",864,2,"$545"
"Redding School District","=""1170011""","Support services - general administration","$336,025",864,2,"$389"
"Redding School District","=""1170011""","Support services - school based administration","$1,317,049",864,2,"$1,524"
"Redding School District","=""1170011""","Central and other support services","$437,758",864,2,"$507"
"Redding School District","=""1170011""","Operation and maintenance of plant","$2,679,171",864,2,"$3,101"
"Redding School District","=""1170011""","Student transportation services","$1,498,679",863,3,"$1,737"
"Redding School District","=""1170011""","Food services","$275",864,2,"$0"
"Redding School District","=""1170011""","Enterprise operations","$0",864,2,"$0"
"Redding School District","=""1170011""","Minor school construction","N/A","N/A","N/A","N/A"
"Redding School District","=""1170011""","Total","$25,415,323",869,1,"$29,247"
"Regional School District 01","=""2010012""","Instruction","$6,920,653",318,1,"$21,763"
"Regional School District 01","=""2010012""","Support services - students","$591,589",311,2,"$1,902"
"Regional School District 01","=""2010012""","Support services - instruction","$758,455",311,2,"$2,439"
"Regional School District 01","=""2010012""","Support services - general administration","$271,624",311,2,"$873"
"Regional School District 01","=""2010012""","Support services - school based administration","$748,005",311,2,"$2,405"
"Regional School District 01","=""2010012""","Central and other support services","$545,526",311,2,"$1,754"
"Regional School District 01","=""2010012""","Operation and maintenance of plant","$1,581,201",311,2,"$5,084"
"Regional School District 01","=""2010012""","Student transportation services","$226,858",10,3,"$22,686"
"Regional School District 01","=""2010012""","Food services","$10,000",311,2,"$32"
"Regional School District 01","=""2010012""","Enterprise operations","$156,047",311,2,"$502"
"Regional School District 01","=""2010012""","Minor school construction","N/A","N/A","N/A","N/A"
"Regional School District 01","=""2010012""","Total","$11,809,957",318,1,"$37,138"
"Regional School District 04","=""2040012""","Instruction","$11,569,803",730,1,"$15,849"
"Regional School District 04","=""2040012""","Support services - students","$1,681,200",713,2,"$2,358"
"Regional School District 04","=""2040012""","Support services - instruction","$263,061",713,2,"$369"
"Regional School District 04","=""2040012""","Support services - general administration","$1,233,433",713,2,"$1,730"
"Regional School District 04","=""2040012""","Support services - school based administration","$1,591,852",713,2,"$2,233"
"Regional School District 04","=""2040012""","Central and other support services","$1,093,706",713,2,"$1,534"
"Regional School District 04","=""2040012""","Operation and maintenance of plant","$2,778,000",713,2,"$3,896"
"Regional School District 04","=""2040012""","Student transportation services","$979,083",734,3,"$1,334"
"Regional School District 04","=""2040012""","Food services","$342,088",713,2,"$480"
"Regional School District 04","=""2040012""","Enterprise operations","$0",713,2,"$0"
"Regional School District 04","=""2040012""","Minor school construction","N/A","N/A","N/A","N/A"
"Regional School District 04","=""2040012""","Total","$21,532,226",730,1,"$29,496"
"Regional School District 05","=""2050012""","Instruction","$25,451,150",2144,1,"$11,871"
"Regional School District 05","=""2050012""","Support services - students","$5,551,371",2098,2,"$2,646"
"Regional School District 05","=""2050012""","Support services - instruction","$2,259,702",2098,2,"$1,077"
"Regional School District 05","=""2050012""","Support services - general administration","$1,734,056",2098,2,"$827"
"Regional School District 05","=""2050012""","Support services - school based administration","$3,836,407",2098,2,"$1,829"
"Regional School District 05","=""2050012""","Central and other support services","$1,217,042",2098,2,"$580"
"Regional School District 05","=""2050012""","Operation and maintenance of plant","$3,870,161",2098,2,"$1,845"
"Regional School District 05","=""2050012""","Student transportation services","$4,025,586",1838,3,"$2,190"
"Regional School District 05","=""2050012""","Food services","$0",2098,2,"$0"
"Regional School District 05","=""2050012""","Enterprise operations","$1,144,965",2098,2,"$546"
"Regional School District 05","=""2050012""","Minor school construction","N/A","N/A","N/A","N/A"
"Regional School District 05","=""2050012""","Total","$49,090,441",2144,1,"$22,897"
"Regional School District 06","=""2060012""","Instruction","$12,033,045",854,1,"$14,090"
"Regional School District 06","=""2060012""","Support services - students","$1,794,800",845,2,"$2,124"
"Regional School District 06","=""2060012""","Support services - instruction","$1,112,218",845,2,"$1,316"
"Regional School District 06","=""2060012""","Support services - general administration","$80,025",845,2,"$95"
"Regional School District 06","=""2060012""","Support services - school based administration","$1,016,504",845,2,"$1,203"
"Regional School District 06","=""2060012""","Central and other support services","$749,183",845,2,"$887"
"Regional School District 06","=""2060012""","Operation and maintenance of plant","$2,251,081",845,2,"$2,664"
"Regional School District 06","=""2060012""","Student transportation services","$1,226,164",762,3,"$1,609"
"Regional School District 06","=""2060012""","Food services","$0",845,2,"$0"
"Regional School District 06","=""2060012""","Enterprise operations","$477,727",845,2,"$565"
"Regional School District 06","=""2060012""","Minor school construction","N/A","N/A","N/A","N/A"
"Regional School District 06","=""2060012""","Total","$20,740,748",854,1,"$24,287"
"Regional School District 07","=""2070012""","Instruction","$14,393,917",849,1,"$16,954"
"Regional School District 07","=""2070012""","Support services - students","$1,080,731",821,2,"$1,316"
"Regional School District 07","=""2070012""","Support services - instruction","$128,575",821,2,"$157"
"Regional School District 07","=""2070012""","Support services - general administration","$485,409",821,2,"$591"
"Regional School District 07","=""2070012""","Support services - school based administration","$1,385,919",821,2,"$1,688"
"Regional School District 07","=""2070012""","Central and other support services","$626,204",821,2,"$763"
"Regional School District 07","=""2070012""","Operation and maintenance of plant","$2,636,435",821,2,"$3,211"
"Regional School District 07","=""2070012""","Student transportation services","$1,848,082",840,3,"$2,200"
"Regional School District 07","=""2070012""","Food services","$0",821,2,"$0"
"Regional School District 07","=""2070012""","Enterprise operations","$511,066",821,2,"$622"
"Regional School District 07","=""2070012""","Minor school construction","N/A","N/A","N/A","N/A"
"Regional School District 07","=""2070012""","Total","$23,096,337",849,1,"$27,204"
"Regional School District 08","=""2080012""","Instruction","$15,535,753",1208,1,"$12,861"
"Regional School District 08","=""2080012""","Support services - students","$2,748,320",1148,2,"$2,394"
"Regional School District 08","=""2080012""","Support services - instruction","$761,524",1148,2,"$663"
"Regional School District 08","=""2080012""","Support services - general administration","$1,530,358",1148,2,"$1,333"
"Regional School District 08","=""2080012""","Support services - school based administration","$1,497,056",1148,2,"$1,304"
"Regional School District 08","=""2080012""","Central and other support services","$969,536",1148,2,"$845"
"Regional School District 08","=""2080012""","Operation and maintenance of plant","$4,888,634",1148,2,"$4,258"
